marker,half,image,question,construct,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,EndIntro.keys,EndIntro.rt,EndIntro.started,EndIntro.stopped,StartNachricht1.started,StartNachricht1.stopped,Start.keys,Start.rt,Start.started,Start.stopped,WebsiteImg.started,WebsiteImg.stopped,Frage.started,Frage.stopped,RatingBlau.response,RatingBlau.rt,RatingBlau.started,RatingBlau.stopped,FixationCross.started,FixationCross.stopped,participant,session,date,expName,psychopyVersion,frameRate,
13,VI,Stimuli/VI_immagram.png,The shown influencer is trustworthy.,trust,0,44,44,12,,,,,,,,,,,451.37026842776686,453.37022365955636,453.28706609341316,None,2,2.402,2.011459277709946,None,455.7202781357337,None,P00,001,2022_May_26_1204,VirtualInfluencersEEG,3.2.4,59.937944594223225,
14,VI,Stimuli/VI_leyalovenature.png,The shown influencer is a human.,human,0,45,45,73,,,,,,,,,,,459.8537188384216,461.85369851463474,461.7702911263332,None,1,2.035,2.0111634999047965,None,463.83702712203376,None,P00,001,2022_May_26_1204,VirtualInfluencersEEG,3.2.4,59.937944594223225,
3,HI,Stimuli/HI_emilycanham.png,The shown influencer is a human.,human,0,46,46,62,,,,,,,,,,,467.7203483262565,469.7203245803248,469.6203174565453,None,3,5.952,2.007699916837737,None,475.6037691941019,None,P00,001,2022_May_26_1204,VirtualInfluencersEEG,3.2.4,59.937944594223225,
12,VI,Stimuli/VI_iamxalara.png,The shown influencer is a human.,human,0,47,47,71,,,,,,,,,,,479.23703836649656,481.23698773165233,481.13699527434073,None,1,2.268,1.999199115904048,None,483.4369503664784,None,P00,001,2022_May_26_1204,VirtualInfluencersEEG,3.2.4,59.937944594223225,
5,HI,Stimuli/HI_imjennim.png,I would follow brand recommendations from the shown influencer.,use,0,48,48,24,,,,,,,,,,,487.0871003854554,489.08686397294514,488.9869824934285,None,2,5.402,1.9992578807286918,None,494.4202713612467,None,P00,001,2022_May_26_1204,VirtualInfluencersEEG,3.2.4,59.937944594223225,
7,HI,Stimuli/HI_lamise.png,The shown influencer is a human.,human,0,49,49,66,,,,,,,,,,,498.5703474881593,500.57031640876085,500.47020466276444,None,3,3.118,2.0074034549761564,None,503.6203087961767,None,P00,001,2022_May_26_1204,VirtualInfluencersEEG,3.2.4,59.937944594223225,
8,HI,Stimuli/HI_rosesarerosie.png,I perceived the influencer as eerie.,uncanny,0,50,50,47,,,,,,,,,,,507.2035768511705,509.2034915050026,509.1703145231586,None,3,3.385,2.001742120599374,None,512.5867858903948,None,P00,001,2022_May_26_1204,VirtualInfluencersEEG,3.2.4,59.937944594223225,
2,HI,Stimuli/HI_chiaraferragni.png,I perceived the influencer as eerie.,uncanny,0,51,51,41,,,,,,,,,,,516.9703739581164,518.9701106564607,518.8867340681609,None,2,5.269,2.015355429146439,None,524.1868319856003,None,P00,001,2022_May_26_1204,VirtualInfluencersEEG,3.2.4,59.937944594223225,
20,VI,Stimuli/VI_soymar.ia.png,I perceived the influencer as eerie.,uncanny,0,52,52,59,,,,,,,,,,,527.8201471136417,529.8202402119059,529.7202453103382,None,4,3.335,2.004386716755107,None,533.0866935600061,None,P00,001,2022_May_26_1204,VirtualInfluencersEEG,3.2.4,59.937944594223225,
5,HI,Stimuli/HI_imjennim.png,The shown influencer is a human.,human,0,53,53,64,,,,,,,,,,,537.2206803518347,539.2198944278061,539.1367916173767,None,4,2.502,2.0074313217774034,None,541.6698567834683,None,P00,001,2022_May_26_1204,VirtualInfluencersEEG,3.2.4,59.937944594223225,
2,HI,Stimuli/HI_chiaraferragni.png,I would follow brand recommendations from the shown influencer.,use,0,54,54,21,,,,,,,,,,,545.336956582265,547.3368463029619,547.2368259790819,None,2,4.535,2.0081845039967448,None,551.8034486924298,None,P00,001,2022_May_26_1204,VirtualInfluencersEEG,3.2.4,59.937944594223225,
17,VI,Stimuli/VI_noonouri.png,I would follow brand recommendations from the shown influencer.,use,0,55,55,36,,,,,,,,,,,556.1033932385035,558.1034755813889,558.0699715325609,None,1,1.718,2.0157455625012517,None,559.8366739347111,None,P00,001,2022_May_26_1204,VirtualInfluencersEEG,3.2.4,59.937944594223225,
20,VI,Stimuli/VI_soymar.ia.png,I would follow brand recommendations from the shown influencer.,use,0,56,56,39,,,,,,,,,,,563.9699669929687,565.969964269083,565.869970345404,None,1,2.202,2.005259872181341,None,568.1030224510469,None,P00,001,2022_May_26_1204,VirtualInfluencersEEG,3.2.4,59.937944594223225,
4,HI,Stimuli/HI_flaviapavanelli.png,The shown influencer is trustworthy.,trust,0,57,57,3,,,,,,,,,,,572.4874069190118,574.4867950396147,574.4033964511473,None,2,2.751,2.011270566377789,None,577.1867615156807,None,P00,001,2022_May_26_1204,VirtualInfluencersEEG,3.2.4,59.937944594223225,
17,VI,Stimuli/VI_noonouri.png,The shown influencer is trustworthy.,trust,0,58,58,16,,,,,,,,,,,581.3033282163087,583.3031930034049,583.2199684595689,None,1,3.785,2.015423873672262,None,587.0366301443428,None,P00,001,2022_May_26_1204,VirtualInfluencersEEG,3.2.4,59.937944594223225,
